Year,CPU Designer,CPU Family,CPU Model,CPU,Processor Code Name,TDP,Transistors (mln),Die size mmˆ2,Processor Clock [MHz],Cores,FP32,GFLOPS(FP32)
2012,Intel,Core i3,i3-2328M,Intel Core i3 i3-2328M,Sandy Bridge,35,,,2200,2,16,70.4
2011,Intel,Core i3,i3-2330M,Intel Core i3 i3-2330M,Sandy Bridge,35,,,2200,2,16,70.4
2012,Intel,Pentium,B970,Intel Pentium B970,Sandy Bridge,35,,,2300,2,16,73.6
2012,Intel,Xeon,E3-1220L v2,Intel Xeon E3-1220L v2,Ivy Bridge,17,,,2300,2,16,73.6
2013,Intel,Celeron,G1610T,Intel Celeron G1610T,Ivy Bridge,35,,,2300,2,16,73.6
2011,Intel,Pentium,G630T,Intel Pentium G630T,Sandy Bridge,35,,,2300,2,16,73.6
2013,Intel,Core i3,i3-2348M,Intel Core i3 i3-2348M,Sandy Bridge,35,,,2300,2,16,73.6
2011,Intel,Core i3,i3-2350M,Intel Core i3 i3-2350M,Sandy Bridge,35,,,2300,2,16,73.6
2011,Intel,Core i5,i5-2410M,Intel Core i5 i5-2410M,Sandy Bridge,35,,,2300,2,16,73.6
2011,Intel,Core i5,i5-2415M,Intel Core i5 i5-2415M,Sandy Bridge,35,,,2300,2,16,73.6
2011,Intel,Core i7,i7-2649M,Intel Core i7 i7-2649M,Sandy Bridge,25,,,2300,2,16,73.6
2012,Intel,Pentium,2020M,Intel Pentium 2020M,Ivy Bridge,35,,,2400,2,16,76.8
2012,Intel,Pentium,B980,Intel Pentium B980,Sandy Bridge,35,,,2400,2,16,76.8
2013,Intel,Celeron,G1620T,Intel Celeron G1620T,Ivy Bridge,35,,,2400,2,16,76.8
2011,Intel,Celeron,G530,Intel Celeron G530,Sandy Bridge,65,,,2400,2,16,76.8
2012,Intel,Pentium,G640T,Intel Pentium G640T,Sandy Bridge,35,,,2400,2,16,76.8
2012,Intel,Core i3,i3-2370M,Intel Core i3 i3-2370M,Sandy Bridge,35,,,2400,2,16,76.8
2012,Intel,Core i3,i3-3110M,Intel Core i3 i3-3110M,Ivy Bridge,35,,,2400,2,16,76.8
2011,Intel,Core i5,i5-2430M,Intel Core i5 i5-2430M,Sandy Bridge,35,,,2400,2,16,76.8
2011,Intel,Core i5,i5-2435M,Intel Core i5 i5-2435M,Sandy Bridge,35,,,2400,2,16,76.8
2013,Intel,Pentium,2030M,Intel Pentium 2030M,Ivy Bridge,35,,,2500,2,16,80
2013,Intel,Pentium,G2020T,Intel Pentium G2020T,Ivy Bridge,35,,,2500,2,16,80
2012,Intel,Pentium,G645T,Intel Pentium G645T,Sandy Bridge,35,,,2500,2,16,80
2011,Intel,Core i3,i3-2100T,Intel Core i3 i3-2100T,Sandy Bridge,35,,,2500,2,16,80
2012,Intel,Core i3,i3-3120M,Intel Core i3 i3-3120M,Ivy Bridge,35,,,2500,2,16,80
2012,Intel,Core i5,i5-2450M,Intel Core i5 i5-2450M,Sandy Bridge,35,,,2500,2,16,80
2011,Intel,Core i5,i5-2520M,Intel Core i5 i5-2520M,Sandy Bridge,35,,,2500,2,16,80
2012,Intel,Core i5,i5-3210M,Intel Core i5 i5-3210M,Ivy Bridge,35,,,2500,2,16,80
2012,Intel,Pentium,1403,Intel Pentium 1403,Sandy Bridge EN,80,,,2600,2,16,83.2
2014,Intel,,1403 v2,Intel  1403 v2,Ivy Bridge EN,80,,,2600,2,16,83.2
2013,Intel,Celeron,G1610,Intel Celeron G1610,Ivy Bridge,55,,,2600,2,16,83.2
2013,Intel,Pentium,G2030T,Intel Pentium G2030T,Ivy Bridge,35,,,2600,2,16,83.2
2012,Intel,Pentium,G2100T,Intel Pentium G2100T,Ivy Bridge,35,,,2600,2,16,83.2
2012,Intel,Celeron,G550,Intel Celeron G550,Sandy Bridge,65,,,2600,2,16,83.2
2011,Intel,Pentium,G620,Intel Pentium G620,Sandy Bridge,65,,,2600,2,16,83.2
2011,Intel,Pentium,G622,Intel Pentium G622,Sandy Bridge,65,,,2600,2,16,83.2
2012,Intel,Pentium,G860T,Intel Pentium G860T,Sandy Bridge,35,,,2600,2,16,83.2
2011,Intel,Core i3,i3-2120T,Intel Core i3 i3-2120T,Sandy Bridge,35,,,2600,2,16,83.2
2013,Intel,Core i3,i3-3130M,Intel Core i3 i3-3130M,Ivy Bridge,35,,,2600,2,16,83.2
2011,Intel,Core i5,i5-2540M,Intel Core i5 i5-2540M,Sandy Bridge,35,,,2600,2,16,83.2
2013,Intel,Core i5,i5-3230M,Intel Core i5 i5-3230M,Ivy Bridge,35,,,2600,2,16,83.2
2012,Intel,Core i5,i5-3320M,Intel Core i5 i5-3320M,Ivy Bridge,35,,,2600,2,16,83.2
2013,Intel,Pentium,G2120T,Intel Pentium G2120T,Ivy Bridge,35,,,2700,2,16,86.4
2012,Intel,Celeron,G555,Intel Celeron G555,Sandy Bridge,65,,,2700,2,16,86.4
2011,Intel,Pentium,G630,Intel Pentium G630,Sandy Bridge,65,,,2700,2,16,86.4
2011,Intel,Pentium,G632,Intel Pentium G632,Sandy Bridge,65,,,2700,2,16,86.4
2011,Intel,Core i5,i5-2390T,Intel Core i5 i5-2390T,Sandy Bridge,35,,,2700,2,16,86.4
2013,Intel,Core i5,i5-3340M,Intel Core i5 i5-3340M,Ivy Bridge,35,,,2700,2,16,86.4
2011,Intel,Core i7,i7-2620M,Intel Core i7 i7-2620M,Sandy Bridge,35,,,2700,2,16,86.4
2012,Intel,Pentium,1407,Intel Pentium 1407,Sandy Bridge EN,80,,,2800,2,16,89.6
2013,Intel,Celeron,G1630,Intel Celeron G1630,Ivy Bridge,55,,,2800,2,16,89.6
2013,Intel,Pentium,G2010,Intel Pentium G2010,Ivy Bridge,55,,,2800,2,16,89.6
2012,Intel,Pentium,G640,Intel Pentium G640,Sandy Bridge,65,,,2800,2,16,89.6
2011,Intel,Pentium,G840,Intel Pentium G840,Sandy Bridge,65,,,2800,2,16,89.6
2012,Intel,Core i3,i3-3220T,Intel Core i3 i3-3220T,Ivy Bridge,35,,,2800,2,16,89.6
2012,Intel,Core i5,i5-3360M,Intel Core i5 i5-3360M,Ivy Bridge,35,,,2800,2,16,89.6
2011,Intel,Core i7,i7-2640M,Intel Core i7 i7-2640M,Sandy Bridge,35,,,2800,2,16,89.6
2013,Intel,Pentium,G2020,Intel Pentium G2020,Ivy Bridge,55,,,2900,2,16,92.8
2012,Intel,Pentium,G645,Intel Pentium G645,Sandy Bridge,65,,,2900,2,16,92.8
2012,Intel,Core i3,i3-3240T,Intel Core i3 i3-3240T,Ivy Bridge,35,,,2900,2,16,92.8
2013,Intel,Core i5,i5-3380M,Intel Core i5 i5-3380M,Ivy Bridge,35,,,2900,2,16,92.8
2012,Intel,Core i5,i5-3470T,Intel Core i5 i5-3470T,Ivy Bridge,35,,,2900,2,16,92.8
2012,Intel,Core i7,i7-3520M,Intel Core i7 i7-3520M,Ivy Bridge,35,,,2900,2,16,92.8
2013,Intel,Pentium,G2030,Intel Pentium G2030,Ivy Bridge,55,,,3000,2,16,96
2011,Intel,Pentium,G860,Intel Pentium G860,Sandy Bridge,65,,,3000,2,16,96
2013,Intel,Core i3,i3-3250T,Intel Core i3 i3-3250T,Ivy Bridge,35,,,3000,2,16,96
2013,Intel,Core i7,i7-3540M,Intel Core i7 i7-3540M,Ivy Bridge,35,,,3000,2,16,96
2012,Intel,Pentium,G870,Intel Pentium G870,Sandy Bridge,65,,,3100,2,16,99.2
2011,Intel,Core i3,i3-2100,Intel Core i3 i3-2100,Sandy Bridge,65,,,3100,2,16,99.2
2011,Intel,Core i3,i3-2102,Intel Core i3 i3-2102,Sandy Bridge,65,,,3100,2,16,99.2
2011,Intel,Core i3,i3-2105,Intel Core i3 i3-2105,Sandy Bridge,65,,,3100,2,16,99.2
2013,Intel,Pentium,G2130,Intel Pentium G2130,Ivy Bridge,55,,,3200,2,16,102.4
2013,Intel,Core i3,i3-3210,Intel Core i3 i3-3210,Ivy Bridge,55,,,3200,2,16,102.4
2013,Intel,Pentium,G2140,Intel Pentium G2140,Ivy Bridge,55,,,3300,2,16,105.6
,Intel,Core i3,i3-2120,Intel Core i3 i3-2120,Sandy Bridge,65,,,3300,2,16,105.6
2011,Intel,Core i3,i3-2125,Intel Core i3 i3-2125,Sandy Bridge,65,,,3300,2,16,105.6
2012,Intel,Core i3,i3-3225,Intel Core i3 i3-3225,Ivy Bridge,55,,,3300,2,16,105.6
2011,Intel,Core i3,i3-2130,Intel Core i3 i3-2130,Sandy Bridge,65,,,3400,2,16,108.8
2012,Intel,Core i3,i3-3240,Intel Core i3 i3-3240,Ivy Bridge,55,,,3400,2,16,108.8
2013,Intel,Core i3,i3-3245,Intel Core i3 i3-3245,Ivy Bridge,55,,,3400,2,16,108.8
2013,Intel,Core i3,i3-3250,Intel Core i3 i3-3250,Ivy Bridge,55,,,3500,2,16,112
2012,Intel,Xeon,E5-2403,Intel Xeon E5-2403,Sandy Bridge EN,80,,,1800,4,16,115.2
2014,Intel,Xeon,E5-2403 v2,Intel Xeon E5-2403 v2,Ivy Bridge EN,80,,,1800,4,16,115.2
2013,Intel,Xeon,E5-2603 v2,Intel Xeon E5-2603 v2,Ivy Bridge EP,80,,,1800,4,16,115.2
2011,Intel,Core i7,i7-2630QM,Intel Core i7 i7-2630QM,Sandy Bridge,45,,,2000,4,16,128
2011,Intel,Core i7,i7-2635QM,Intel Core i7 i7-2635QM,Sandy Bridge,45,,,2000,4,16,128
2012,Intel,Core i7,i7-3612QM,Intel Core i7 i7-3612QM,Ivy Bridge,35,,,2100,4,16,134.4
2012,Intel,Xeon,E5-2407,Intel Xeon E5-2407,Sandy Bridge EN,80,,,2200,4,16,140.8
2014,Intel,Xeon,E5-4603 v2,Intel Xeon E5-4603 v2,Ivy Bridge EP,95,,,2200,4,16,140.8
2011,Intel,Core i7,i7-2670QM,Intel Core i7 i7-2670QM,Sandy Bridge,45,,,2200,4,16,140.8
2011,Intel,Core i7,i7-2675QM,Intel Core i7 i7-2675QM,Sandy Bridge,45,,,2200,4,16,140.8
2011,Intel,Core i7,i7-2720QM,Intel Core i7 i7-2720QM,Sandy Bridge,45,,,2200,4,16,140.8
2012,Intel,Core i7,i7-3632QM,Intel Core i7 i7-3632QM,Ivy Bridge,35,,,2200,4,16,140.8
2011,Intel,Core i5,i5-2500T,Intel Core i5 i5-2500T,Sandy Bridge,45,,,2300,4,16,147.2
2012,Intel,Core i5,i5-3570T,Intel Core i5 i5-3570T,Ivy Bridge,45,,,2300,4,16,147.2
2011,Intel,Core i7,i7-2820QM,Intel Core i7 i7-2820QM,Sandy Bridge,45,,,2300,4,16,147.2
2012,Intel,Core i7,i7-3610QM,Intel Core i7 i7-3610QM,Ivy Bridge,45,,,2300,4,16,147.2
2012,Intel,Core i7,i7-3615QM,Intel Core i7 i7-3615QM,Ivy Bridge,45,,,2300,4,16,147.2
2011,Intel,Xeon,E3-1260L,Intel Xeon E3-1260L,Sandy Bridge,45,,,2400,4,16,153.6
2014,Intel,Xeon,E5-2407 v2,Intel Xeon E5-2407 v2,Ivy Bridge EN,80,,,2400,4,16,153.6
2011,Intel,Core i7,i7-2760QM,Intel Core i7 i7-2760QM,Sandy Bridge,45,,,2400,4,16,153.6
2012,Intel,Core i7,i7-3630QM,Intel Core i7 i7-3630QM,Ivy Bridge,45,,,2400,4,16,153.6
2012,Intel,Core i7,i7-3635QM,Intel Core i7 i7-3635QM,Ivy Bridge,45,,,2400,4,16,153.6
2012,Intel,Xeon,E3-1265L v2,Intel Xeon E3-1265L v2,Ivy Bridge,45,,,2500,4,16,160
2011,Intel,Core i5,i5-2400S,Intel Core i5 i5-2400S,Sandy Bridge,65,,,2500,4,16,160
2011,Intel,Core i5,i5-2405S,Intel Core i5 i5-2405S,Sandy Bridge,65,,,2500,4,16,160
2011,Intel,Core i7,i7-2860QM,Intel Core i7 i7-2860QM,Sandy Bridge,45,,,2500,4,16,160
2011,Intel,Core i7 Extreme,i7-2920XM,Intel Core i7 Extreme i7-2920XM,Sandy Bridge,55,,,2500,4,16,160
2012,Intel,Core i7,i7-3770T,Intel Core i7 i7-3770T,Ivy Bridge,45,,,2500,4,16,160
2012,Intel,Core i7,i7-3720QM,Intel Core i7 i7-3720QM,Ivy Bridge,45,,,2600,4,16,166.4
2012,Intel,Xeon,E5-1428L,Intel Xeon E5-1428L,Sandy Bridge EN,60,,,1800,6,16,172.8
2011,Intel,Core i5,i5-2500S,Intel Core i5 i5-2500S,Sandy Bridge,65,,,2700,4,16,172.8
2012,Intel,Core i5,i5-3330S,Intel Core i5 i5-3330S,Ivy Bridge,65,,,2700,4,16,172.8
2011,Intel,Core i7 Extreme,i7-2960XM,Intel Core i7 Extreme i7-2960XM,Sandy Bridge,55,,,2700,4,16,172.8
2012,Intel,Core i7,i7-3740QM,Intel Core i7 i7-3740QM,Ivy Bridge,45,,,2700,4,16,172.8
2012,Intel,Core i7,i7-3820QM,Intel Core i7 i7-3820QM,Ivy Bridge,45,,,2700,4,16,172.8
2012,Intel,Xeon,E5-1410,Intel Xeon E5-1410,Sandy Bridge EN,80,,,2800,4,16,179.2
2014,Intel,,E5-1410 v2,Intel  E5-1410 v2,Ivy Bridge EN,80,,,2800,4,16,179.2
2011,Intel,Core i5,i5-2300,Intel Core i5 i5-2300,Sandy Bridge,95,,,2800,4,16,179.2
2013,Intel,Core i5,i5-3340S,Intel Core i5 i5-3340S,Ivy Bridge,65,,,2800,4,16,179.2
2012,Intel,Core i5,i5-3450S,Intel Core i5 i5-3450S,Ivy Bridge,65,,,2800,4,16,179.2
2011,Intel,Core i7,i7-2600S,Intel Core i7 i7-2600S,Sandy Bridge,65,,,2800,4,16,179.2
2012,Intel,Core i7,i7-3840QM,Intel Core i7 i7-3840QM,Ivy Bridge,45,,,2800,4,16,179.2
2012,Intel,Xeon,E5-2420,Intel Xeon E5-2420,Sandy Bridge EN,95,,,1900,6,16,182.4
2014,Intel,Xeon,E7-4809 v2,Intel Xeon E7-4809 v2,Ivy Bridge,105,,,1900,6,16,182.4
2011,Intel,Core i5,i5-2310,Intel Core i5 i5-2310,Sandy Bridge,95,,,2900,4,16,185.6
2012,Intel,Core i5,i5-3470S,Intel Core i5 i5-3470S,Ivy Bridge,65,,,2900,4,16,185.6
2012,Intel,Core i5,i5-3475S,Intel Core i5 i5-3475S,Ivy Bridge,65,,,2900,4,16,185.6
2012,Intel,Core i7 Extreme,i7-3920XM,Intel Core i7 Extreme i7-3920XM,Ivy Bridge,55,,,2900,4,16,185.6
2012,Intel,Xeon,E5-2430L,Intel Xeon E5-2430L,Sandy Bridge EN,60,,,2000,6,16,192
2013,Intel,,E5-1607 v2,Intel  E5-1607 v2,Ivy Bridge EP,130,,,3000,4,16,192
2011,Intel,Core i5,i5-2320,Intel Core i5 i5-2320,Sandy Bridge,95,,,3000,4,16,192
2012,Intel,Core i5,i5-3330,Intel Core i5 i5-3330,Ivy Bridge,77,,,3000,4,16,192
2012,Intel,Core i7 Extreme,i7-3940XM,Intel Core i7 Extreme i7-3940XM,Ivy Bridge,55,,,3000,4,16,192
2011,Intel,Xeon,E3-1220,Intel Xeon E3-1220,Sandy Bridge,80,,,3100,4,16,198.4
2012,Intel,Xeon,E3-1220 v2,Intel Xeon E3-1220 v2,Ivy Bridge,69,,,3100,4,16,198.4
2012,Intel,Core i5,i5-2380P,Intel Core i5 i5-2380P,Sandy Bridge,95,,,3100,4,16,198.4
2013,Intel,Core i5,i5-3340,Intel Core i5 i5-3340,Ivy Bridge,77,,,3100,4,16,198.4
2012,Intel,Core i5,i5-3350P,Intel Core i5 i5-3350P,Ivy Bridge,69,,,3100,4,16,198.4
2012,Intel,Core i5,i5-3450,Intel Core i5 i5-3450,Ivy Bridge,77,,,3100,4,16,198.4
2012,Intel,Core i5,i5-3570S,Intel Core i5 i5-3570S,Ivy Bridge,65,,,3100,4,16,198.4
2012,Intel,Core i7,i7-3770S,Intel Core i7 i7-3770S,Ivy Bridge,65,,,3100,4,16,198.4
2013,Intel,Xeon,E5-2620 v2,Intel Xeon E5-2620 v2,Ivy Bridge EP,80,,,2100,6,16,201.6
2011,Intel,Xeon,E3-1230,Intel Xeon E3-1230,Sandy Bridge,80,,,3200,4,16,204.8
2011,Intel,Xeon,E3-1235,Intel Xeon E3-1235,Sandy Bridge,95,,,3200,4,16,204.8
2012,Intel,Core i5,i5-2450P,Intel Core i5 i5-2450P,Sandy Bridge,95,,,3200,4,16,204.8
2012,Intel,Core i5,i5-3470,Intel Core i5 i5-3470,Ivy Bridge,77,,,3200,4,16,204.8
2012,Intel,Xeon,E3-1230 v2,Intel Xeon E3-1230 v2,Ivy Bridge,69,,,3300,4,16,211.2
2011,Intel,Xeon,E3-1240,Intel Xeon E3-1240,Sandy Bridge,80,,,3300,4,16,211.2
2011,Intel,Xeon,E3-1245,Intel Xeon E3-1245,Sandy Bridge,95,,,3300,4,16,211.2
2011,Intel,Core i5,i5-2500,Intel Core i5 i5-2500,Sandy Bridge,95,,,3300,4,16,211.2
2011,Intel,Core i5,i5-2500K,Intel Core i5 i5-2500K,Sandy Bridge,95,,,3300,4,16,211.2
2012,Intel,Core i5,i5-3550,Intel Core i5 i5-3550,Ivy Bridge,77,,,3300,4,16,211.2
2014,Intel,Xeon,E5-2420 v2,Intel Xeon E5-2420 v2,Ivy Bridge EN,80,,,2200,6,16,211.2
2011,Intel,Core i7,2600,Intel Core i7 2600,Sandy Bridge,95,995,216,3400,4,16,217.6
2012,Intel,Xeon,E3-1240 v2,Intel Xeon E3-1240 v2,Ivy Bridge,69,,,3400,4,16,217.6
2012,Intel,Xeon,E3-1245 v2,Intel Xeon E3-1245 v2,Ivy Bridge,77,,,3400,4,16,217.6
2011,Intel,Xeon,E3-1270,Intel Xeon E3-1270,Sandy Bridge,80,,,3400,4,16,217.6
2012,Intel,Core i5,i5-2550K,Intel Core i5 i5-2550K,Sandy Bridge,95,,,3400,4,16,217.6
2012,Intel,Core i5,i5-3570,Intel Core i5 i5-3570,Ivy Bridge,77,,,3400,4,16,217.6
2012,Intel,Core i5,i5-3570K,Intel Core i5 i5-3570K,Ivy Bridge,77,,,3400,4,16,217.6
2011,Intel,Core i7,i7-2600K,Intel Core i7 i7-2600K,Sandy Bridge,95,,,3400,4,16,217.6
2012,Intel,Xeon,E3-1270 v2,Intel Xeon E3-1270 v2,Ivy Bridge,69,,,3500,4,16,224
2011,Intel,Xeon,E3-1280,Intel Xeon E3-1280,Sandy Bridge,95,,,3500,4,16,224
2013,Intel,Xeon,E5-2637 v2,Intel Xeon E5-2637 v2,Ivy Bridge EP,130,,,3500,4,16,224
2011,Intel,Core i7,i7-2700K,Intel Core i7 i7-2700K,Sandy Bridge,95,,,3500,4,16,224
2012,Intel,Core i7,i7-3770K,Intel Core i7 i7-3770K,Ivy Bridge,77,,,3500,4,16,224
2014,Intel,Xeon,E5-2430L v2,Intel Xeon E5-2430L v2,Ivy Bridge EN,60,,,2400,6,16,230.4
2012,Intel,Xeon,E5-2440,Intel Xeon E5-2440,Sandy Bridge EN,95,,,2400,6,16,230.4
2013,Intel,Xeon,E5-2630L v2,Intel Xeon E5-2630L v2,Ivy Bridge EP,60,,,2400,6,16,230.4
2012,Intel,Xeon,E5-2450L,Intel Xeon E5-2450L,Sandy Bridge EN,70,,,1800,8,16,230.4
2012,Intel,Xeon,E3-1280 v2,Intel Xeon E3-1280 v2,Ivy Bridge,69,,,3600,4,16,230.4
2011,Intel,Xeon,E3-1290,Intel Xeon E3-1290,Sandy Bridge,95,,,3600,4,16,230.4
2012,Intel,Core i7,i7-3820,Intel Core i7 i7-3820,Sandy Bridge E,130,,,3600,4,16,230.4
2012,Intel,Xeon,E3-1290 v2,Intel Xeon E3-1290 v2,Ivy Bridge,87,,,3700,4,16,236.8
2013,Intel,Xeon,E5-1620 v2,Intel Xeon E5-1620 v2,Ivy Bridge EP,130,,,3700,4,16,236.8
2013,Intel,Core i7,i7-4820K,Intel Core i7 i7-4820K,Ivy Bridge E,130,,,3700,4,16,236.8
2014,Intel,Xeon,E5-2440 v2,Intel Xeon E5-2440 v2,Ivy Bridge EN,95,,,1900,8,16,243.2
2014,Intel,Xeon,E5-4607 v2,Intel Xeon E5-4607 v2,Ivy Bridge EP,95,,,2600,6,16,249.6
2014,Intel,Xeon,E7-4820 v2,Intel Xeon E7-4820 v2,Ivy Bridge,105,,,2000,8,16,256
2012,Intel,Xeon,E5-2450,Intel Xeon E5-2450,Sandy Bridge EN,95,,,2100,8,16,268.8
2014,Intel,Xeon,E5-2450L v2,Intel Xeon E5-2450L v2,Ivy Bridge EN,60,,,1700,10,16,272
2013,Intel,Xeon,E5-2650L v2,Intel Xeon E5-2650L v2,Ivy Bridge EP,70,,,1700,10,16,272
2012,Intel,Xeon,E5-2470,Intel Xeon E5-2470,Sandy Bridge EN,95,,,2300,8,16,294.4
2014,Intel,Xeon,E5-4610 v2,Intel Xeon E5-4610 v2,Ivy Bridge EP,95,,,2300,8,16,294.4
2011,Intel,Core i7,i7-3930K,Intel Core i7 i7-3930K,Sandy Bridge E,130,,,3200,6,16,307.2
2011,Intel,Core i7,i7-3960X,Intel Core i7 i7-3960X,Sandy Bridge E,130,,,3300,6,16,316.8
2014,Intel,Xeon,E7-8893 v2,Intel Xeon E7-8893 v2,Ivy Bridge,155,,,3400,6,16,326.4
2013,Intel,Core i7,i7-4930K,Intel Core i7 i7-4930K,Ivy Bridge E,130,,,3400,6,16,326.4
2013,Intel,Xeon,E5-2650 v2,Intel Xeon E5-2650 v2,Ivy Bridge EP,95,,,2600,8,16,332.8
2014,Intel,Xeon,E5-4620 v2,Intel Xeon E5-4620 v2,Ivy Bridge EP,95,,,2600,8,16,332.8
2013,Intel,Xeon,E5-1650 v2,Intel Xeon E5-1650 v2,Ivy Bridge EP,130,,,3500,6,16,336
2013,Intel,Xeon,E5-2643 v2,Intel Xeon E5-2643 v2,Ivy Bridge EP,130,,,3500,6,16,336
2012,Intel,Core i7,i7-3970X,Intel Core i7 i7-3970X,Sandy Bridge E,150,,,3500,6,16,336
2013,Intel,Core i7,i7-4960X,Intel Core i7 i7-4960X,Ivy Bridge E,130,,,3600,6,16,345.6
2013,Intel,Xeon,E5-2660 v2,Intel Xeon E5-2660 v2,Ivy Bridge EP,95,,,2200,10,16,352
2014,Intel,Xeon,E5-4640 v2,Intel Xeon E5-4640 v2,Ivy Bridge EP,95,,,2200,10,16,352
2014,Intel,Xeon,E7-4830 v2,Intel Xeon E7-4830 v2,Ivy Bridge,105,,,2200,10,16,352
2013,Intel,Xeon,E5-1660 v2,Intel Xeon E5-1660 v2,Ivy Bridge EP,130,,,3700,6,16,355.2
2014,Intel,Xeon,E5-2470 v2,Intel Xeon E5-2470 v2,Ivy Bridge EN,95,,,2400,10,16,384
2014,Intel,Xeon,E5-4650 v2,Intel Xeon E5-4650 v2,Ivy Bridge EP,95,,,2400,10,16,384
2013,Intel,,E5-1680 v2,Intel  E5-1680 v2,Ivy Bridge EP,130,,,3000,8,16,384
2013,Intel,Xeon,E5-2670 v2,Intel Xeon E5-2670 v2,Ivy Bridge EP,115,,,2500,10,16,400
2013,Intel,Xeon,E5-2667 v2,Intel Xeon E5-2667 v2,Ivy Bridge EP,130,,,3300,8,16,422.4
2013,Intel,,E5-2673 v2,Intel  E5-2673 v2,Ivy Bridge EP,110,,,3300,8,16,422.4
2014,Intel,Xeon,E5-4627 v2,Intel Xeon E5-4627 v2,Ivy Bridge EP,130,,,3300,8,16,422.4
2013,Intel,Xeon,E5-2687W v2,Intel Xeon E5-2687W v2,Ivy Bridge EP,150,,,3400,8,16,435.2
2014,Intel,Xeon,E7-2850 v2,Intel Xeon E7-2850 v2,Ivy Bridge,105,,,2300,12,16,441.6
2014,Intel,Xeon,E7-4850 v2,Intel Xeon E7-4850 v2,Ivy Bridge,105,,,2300,12,16,441.6
2014,Intel,Xeon,E7-8850 v2,Intel Xeon E7-8850 v2,Ivy Bridge,105,,,2300,12,16,441.6
2013,Intel,Xeon,E5-2695 v2,Intel Xeon E5-2695 v2,Ivy Bridge EP,115,,,2400,12,16,460.8
2014,Intel,Xeon,E5-4657L v2,Intel Xeon E5-4657L v2,Ivy Bridge EP,115,,,2400,12,16,460.8
2013,Intel,Xeon,E5-2690 v2,Intel Xeon E5-2690 v2,Ivy Bridge EP,130,,,3000,10,16,480
2014,Intel,Xeon,E7-4860 v2,Intel Xeon E7-4860 v2,Ivy Bridge,130,,,2600,12,16,499.2
2014,Intel,Xeon,E7-8891 v2,Intel Xeon E7-8891 v2,Ivy Bridge,155,,,3200,10,16,512
2013,Intel,Xeon,E5-2697 v2,Intel Xeon E5-2697 v2,Ivy Bridge EP,130,,,2700,12,16,518.4
2014,Intel,Xeon,E7-8880L v2,Intel Xeon E7-8880L v2,Ivy Bridge,105,,,2200,15,16,528
2014,Intel,Xeon,E7-2870 v2,Intel Xeon E7-2870 v2,Ivy Bridge,130,,,2300,15,16,552
2014,Intel,Xeon,E7-4870 v2,Intel Xeon E7-4870 v2,Ivy Bridge,130,,,2300,15,16,552
2014,Intel,Xeon,E7-8870 v2,Intel Xeon E7-8870 v2,Ivy Bridge,130,,,2300,15,16,552
2014,Intel,Xeon,E7-8857 v2,Intel Xeon E7-8857 v2,Ivy Bridge,130,,,3000,12,16,576
2014,Intel,Xeon,E7-2880 v2,Intel Xeon E7-2880 v2,Ivy Bridge,130,,,2500,15,16,600
2014,Intel,Xeon,E7-4880 v2,Intel Xeon E7-4880 v2,Ivy Bridge,130,,,2500,15,16,600
2014,Intel,Xeon,E7-8880 v2,Intel Xeon E7-8880 v2,Ivy Bridge,130,,,2500,15,16,600
2014,Intel,Xeon,E7-2890 v2,Intel Xeon E7-2890 v2,Ivy Bridge,155,,,2800,15,16,672
2014,Intel,Xeon,E7-4890 v2,Intel Xeon E7-4890 v2,Ivy Bridge,155,,,2800,15,16,672
2014,Intel,Xeon,E7-8890 v2,Intel Xeon E7-8890 v2,Ivy Bridge,155,,,2800,15,16,672
2014,Intel,,E7-8895 v2,Intel  E7-8895 v2,Ivy Bridge,155,,,2800,15,16,672
2014,Intel,Core M,5Y10,Intel Core M 5Y10,Broadwell,4.5,,,800,2,32,51.2
2014,Intel,Core M,5Y10a,Intel Core M 5Y10a,Broadwell,4.5,,,800,2,32,51.2
2014,Intel,Core M,5Y10c,Intel Core M 5Y10c,Broadwell,4.5,,,800,2,32,51.2
2014,Intel,Core M,5Y31,Intel Core M 5Y31,Broadwell,4.5,,,900,2,32,57.6
2013,Intel,Celeron,2961Y,Intel Celeron 2961Y,Haswell,11.5,,,1100,2,32,70.4
2014,Intel,Core M,5Y51,Intel Core M 5Y51,Broadwell,4.5,,,1100,2,32,70.4
2014,Intel,Core M,5Y70,Intel Core M 5Y70,Broadwell,4.5,,,1100,2,32,70.4
2013,Intel,Xeon,E3-1220L v3,Intel Xeon E3-1220L v3,Haswell,13,,,1100,2,32,70.4
2013,Intel,Pentium,3560Y,Intel Pentium 3560Y,Haswell,11.5,,,1200,2,32,76.8
2013,Intel,Pentium,3561Y,Intel Pentium 3561Y,Haswell,11.5,,,1200,2,32,76.8
2014,Intel,Core M,5Y71,Intel Core M 5Y71,Broadwell,4.5,,,1200,2,32,76.8
2013,Intel,Core i3,i3-4010Y,Intel Core i3 i3-4010Y,Haswell,11.5,,,1300,2,32,83.2
2013,Intel,Core i5,i5-4250U,Intel Core i5 i5-4250U,Haswell,15,,,1300,2,32,83.2
2013,Intel,Celeron,2955U,Intel Celeron 2955U,Haswell,15,,,1400,2,32,89.6
2013,Intel,Celeron,2957U,Intel Celeron 2957U,Haswell,15,,,1400,2,32,89.6
